127.0.0.1 - - [03/Dec/2022:20:34:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:00 +0700] "GET /JSP_3/xuLyDangNhap.jsp HTTP/1.1" 500 2455
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:00 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:13 +0700] "GET /JSP_3/xuLyDangNhap.jsp HTTP/1.1" 500 2455
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:37 +0700] "GET /JSP_3/muaMayTinh.jsp HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:38 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:59 +0700] "GET /JSP_3/login.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:35:59 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:36:07 +0700] "POST /JSP_3/xuLyDangNhap.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:36:28 +0700] "POST /JSP_3/xuLyDangNhap.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:36:38 +0700] "POST /JSP_3/xuLyDangNhap.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:37:08 +0700] "GET /JSP_2/trangDatHang.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:37:08 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:37:26 +0700] "GET /JSP_2/index.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [03/Dec/2022:20:37:26 +0700] "GET /favicon.ico HTTP/1.1" 404 762
